tokenId,category,special,animal,name,powerValue1,powerValue2,powerValue3,displayValue1,displayValue2,displayValue2,presale,oldId
1,mystic,1,Brontosaurus,UNU#1 Brontosaurus,Bravery,Wisdom,Clarity,Armour,"Pyramid -Triangle, Book",Diamond - Lotus,,49
2,mystic,1,Chinese Dragon,UNU#2 Chinese Dragon,Strength,Wisdom,Peace,Laser,"Pyramid -Triangle, Book",Coin,,53
3,water,1,Striped Marlin,UNU#3 Striped Marlin,Health,Freedom,Strength,Cross,Wings & Fins,Sword,,1
4,water,0,Alligator,UNU#4 Alligator,Bravery,Freedom,Faith,Armour,Thrust,Lantern,,4
5,water,0,Tuna,UNU#5 Tuna,Kindness,Decency,Self,Heart,Ribbon,Eye,,8
6,water,0,Moray,UNU#6 Moray,Wisdom,Strength,Creativity,"Pyramid -Triangle, Book",Sword - Laser - Horn,Brush,,14
7,water,0,Barracuda,UNU#7 Barracuda,Freedom,Self,Curiosity,Thrust,Eye,Questionmark,,16
8,water,0,King Crab ,UNU#8 King Crab ,Strength,Generosity,Confidence,Armour,World,Crown-Hat,,27
9,water,0,Fur Seal ,UNU#9 Fur Seal ,Curiosity,Generosity,Fun,Questionmark,World,Instrument - Note,,29
10,water,0,Freshwater Pearl Mussel,UNU#10 Freshwater Pearl Mussel,Clarity,Calm,Health,Diamond - Lotus,Ying Yang,Cross,,31
11,water,0,Blanket Octopus,UNU#11 Blanket Octopus,Grace & Beauty,Bravery,Curiosity,Drop,Armour,Questionmark,,39
12,water,1,Cod,UNU#12 Cod,Generosity,Calm,Trust,World,Ying Yang,"Lock, Moon & Star",,40
13,water,0,Ghost Crab,UNU#13 Ghost Crab,Authenticity,Kindness,Decency,Bag,Rose,Lantern,,43
14,water,1,CroCodile,UNU#14 CroCodile,Freedom,Health,Bravery,Thrust,Cross,Armour,,45
15,water,0,Dogfish,UNU#15 Dogfish,Calm,Decency,Health,Ying Yang,Lantern,Cross,,51
16,water,1,Eel,UNU#16 Eel,Generosity,Wisdom,,World,"Pyramid -Triangle, Book",,,58
17,water,0,Sandshell Mussel,UNU#17 Sandshell Mussel,Wisdom,Curiosity,Health,"Pyramid -Triangle, Book",Questionmark,Cross,,66
18,water,0,Goldfish,UNU#18 Goldfish,Generosity,Decency,Calm,World,Lantern,Ying Yang,,76
19,land,1,African Elephant,UNU#19 African Elephant,Self,Wisdom,Strength,Eye,Pyradmid,Sword - Laser - Horn,,2
20,land,0,Shiba Dog,UNU#20 Shiba Dog,Freedom,Love,Trust,Wings & Fins,Heart,Scarf,,3
21,land,0,Alpaca,UNU#21 Alpaca,Wisdom,Self,Peace,"Pyramid -Triangle, Book",Sunglasses,Coin,,5
